iranyitoszam;telepules;kozterulet;hazszam
null;Shensuo;Kennedy;51
353210;Novotitarovskaya;Toban;42
249018;Bol’shoy Kamen’;Randy;130
null;Speightstown;Mendota;97
29051;Parachinar;Texas;62
null;Gonbad-e Kāvūs;Bartillon;158
null;Yitulihe;Utah;130
86180-000;Cambé;Kinsman;47
2110;Red Hill;Buena Vista;28
null;Longde Chengguanzhen;Arapahoe;158
6414;Heerlen;Mayfield;32
null;Xiaodukou;Carioca;149
null;Arrap’i;Bunting;90
null;Qiaotou;Thackeray;159
3200-399;Vilarinho;Drewry;16
106 42;Stockholm;Blue Bill Park;151
89714;Carson City;Gale;8
null;Yueyang;Green Ridge;123
null;Gikongoro;Fieldstone;158
null;Lebu;Beilfuss;147
null;Heshang;Ronald Regan;107
null;Riangderi;Brown;156
null;Zhaobei;Superior;61
null;Guanmiao;Main;82
null;Stung Treng;Calypso;125
8710;New Iloilo;Stoughton;39
null;Niutian;Doe Crossing;65
null;Jiuhua;Independence;60
58000-000;João Pessoa;Arapahoe;122
623508;Gryaznovskoye;Gina;34
null;Porvenir;Anthes;52
11506;Juan Adrián;Alpine;3
null;Tamanar;Riverside;143
null;Higetegera;Union;28
null;Zrenjanin;Southridge;96
null;Shangmofang;6th;83
null;Bukui;Badeau;158
92511 CEDEX;Boulogne-Billancourt;Paget;120
3119;Tønsberg;Kenwood;63
null;Ya‘bad;Eagan;102
250 06;Helsingborg;Northview;59
453150;Karmaskaly;Buell;32
null;Bantu;Nobel;127
null;Chefchaouene;Loomis;48
null;Liuhao;2nd;119
null;Kezileboyi;Bluejay;140
456862;Tayginka;Annamark;39
null;Hougang;Becker;118
null;Jiaoyuan;School;62
null;Cikendi;Stephen;29
9208;Unidos;Schurz;137
null;Xinye;Sherman;91
null;Dakingari;Tomscot;59
null;Vecumnieki;Washington;144
null;Yangju;Golden Leaf;33
null;Zipárion;Fulton;53
null;Babao;Leroy;102
46964;Petaling Jaya;Aberg;140
null;Ijero-Ekiti;Dennis;159
null;Trucuk;Pond;49
256 55;Helsingborg;Myrtle;14
null;Paita;Fulton;99
4307;Panikihan;Lighthouse Bay;143
null;Nāḩiyat Baḩār;La Follette;133
95190-000;São Marcos;Anzinger;20
2419;Patayac;Derek;99
null;Horad Pinsk;Prentice;133
443049;Barrancas;5th;158
null;Yangmaogong;Dunning;136
null;Haoba;Eastlawn;155
31139 CEDEX;Balma;Kensington;97
null;Bamako;Dottie;28
798 45;Seč;Atwood;148
null;Nanjie;Westridge;95
null;Orocuina;Bluestem;133
null;Novyy Starodub;Logan;141
null;Valbonë;Troy;93
null;Kalloní;Hoepker;119
null;Mombok;La Follette;65
52220;Vinež;American Ash;137
169510;Verkhnyaya Toyma;Grasskamp;103
12210;Albany;Springview;89
3342;San Justo;Hoard;4
45700-000;Itapetinga;Brickson Park;11
null;Artémida;Thackeray;41
null;Khatsyezhyna;Dahle;109
null;Beigang;Everett;11
null;Lukou;Vermont;11
2538;Potchefstroom;Goodland;97
null;Jilma;Lillian;141
68500-000;Marabá;Golden Leaf;96
null;Maliana;Carioca;77
null;Loum;Monument;47
null;Shu;Kings;130
L-9098;Ettelbruck;Oak Valley;71
null;Anchang;Mosinee;111
3515;Laguna Limpia;Lakewood;91
684350;Esso;Macpherson;127
null;Qindu;Gateway;135
null;Songbo;Claremont;146
null;Klirou;Old Gate;5
null;Naḥf;Swallow;3
null;Jihuluntu Sumu;Northwestern;119
99-412;Kiernozia;Havey;44
3517;Cabaritan East;Lake View;6
null;Phong Điền;Rutledge;37
434 38;Kungsbacka;Amoth;107
null;Nūbā;Schmedeman;100
8117;Matiao;Saint Paul;39
null;Qozonketkan;Emmet;131
6001;Consolacion;Sutherland;84
null;Jiufang;Goodland;144
10135;Concepción de La Vega;Eastwood;115
3070-635;Corticeiro de Baixo;Butternut;87
41355 CEDEX;Vineuil;Loomis;109
null;Yarabamba;Thierer;14
4805-550;Vermil;Victoria;134
null;Chantal;Westend;112
null;Chongkan;Lake View;107
null;Dahuangwei;Russell;13
361424;Vol’nyy Aul;Oneill;127
962-0042;Ina;Westerfield;60
null;Mochudi;Manitowish;123
null;Tete;Division;69
null;Caijiazha;Emmet;47
null;‘Uqayribāt;Hauk;86
null;Barubandung;Marquette;12
MD-3730;Străşeni;Golden Leaf;101
null;Ulashan;Alpine;49
null;Xinfengjie;Oxford;40
null;Timbulsari;Vidon;71
null;Arwād;Moland;70
null;Archángelos;Spohn;143
null;Sanxi;Judy;132
131 22;Nacka;Morningstar;34
48912;Lansing;Red Cloud;130
null;Owerri;Jackson;53
M5G;Bassano;Fieldstone;60
397743;Sloboda;Prairie Rose;135
null;Genteng;Jay;35
null;Krueng Luak;Sherman;13
null;Gondang;Chinook;13
6602;Padre Burgos;Pepper Wood;68
4026;Hinigaran;Forest;64
null;Räpina;Blackbird;92
77-133;Tuchomie;Bay;3
671235;Babushkin;Declaration;64
null;Ningxin;Prairie Rose;85
88125 CEDEX;Vagney;Claremont;20
4894;Bulls;Vera;62
null;Huayacundo Arma;Express;124
64-300;Nowy Tomyśl;Sheridan;118
null;Hanjia;Porter;72
87001;Telsiai;Brickson Park;47
null;Daugavpils;Anzinger;56
37795-000;Andradas;Mccormick;145
285 22;Zruč nad Sázavou;Pankratz;146
927-0038;Kashima;Hayes;39
null;Kelungkung;Declaration;104
null;Selenicë;Steensland;54
null;Soras;Esker;36
null;Siteki;Eliot;7
4089;Hafrsfjord;Magdeline;83
null;Reshetylivka;Buhler;4
null;Tembang;2nd;160
null;Jetis;Badeau;38
null;Shilin;Daystar;61
95600;La Guadalupe;Forest;17
424 31;Angered;Anzinger;55
null;Berdyans’k;Burning Wood;26
